Title,Type,Year,Seasons,Rating,Comments,Romantic,Comedy,Action,Intimacy,Abusive,Naked
Maggie,Series,2022-,,7.0,,,,,1,,
Ms.Marvel,Series,2022-,,8.0,,,,,2,,
Severance,Series,2022-,,,,,,,,,
She Hulk,Series,2022-,,7.0,,,,,2,,
The Mole,Series,2022-,,9.0,,,,,1,0.0,0.0
The Summer I turned Pretty,Series,2022-,2.0,7.0,,,,,3,,
Wednesday,Series,2022-,1.4,9.0,,,,,1,,
Campus Daires,Series,2022-22,,8.0,,,,,3,,
Parrallel,Series,2022-22,,8.0,,,,, ,,
The Bastard Son & The Devil Himself,Series,2022-22,1.0,8.0,,0.0,3.0,,1,3.0,0.0
The Playlist,Series,2022-22,,9.0,,,,,1,,
WeCrashed,Series,2022-22,1.0,8.0,,,,,,,
Dahmer Monster: The Jeffery Dahmer Story,Series,2022-24,,7.0,,,,,,,
Citadel,Series,2023-,,9.0,,,,,3,,
Gen V,Series,2023-,,9.0,,,,,5,5.0,5.0
Goosebumps,Series,2023-,2.0,8.0,,,,,1,,
Kaala Paani,Series,2023-,,9.0,,,,,0,,
Money Heist: Berlin,Series,2023-,,8.0,,,,,3,,
One Piece,Series,2023-,,10.0,,,,,1,,
Percy Jackson and the Olympians,Series,2023-,,8.0,,,,,1,,
Rana Naidu,Series,2023-,,8.0,,,,,3,,
Taaza Khabar,Series,2023-,,8.0,,,,,2,5.0,0.0
The Devil's Plan,Series,2023-,,8.0,,,,,0,0.0,0.0
The Last of Us,Series,2023-,2.0,9.0,,,,,0,3.0,1.0
"XO, Kitty",Series,2023-,,7.0,,,,,2,0.0,0.0
A Murder at the End of the World,Series,2023-23,,7.0,,,,,1,,
Home Shanti,Series,2023-23,,7.0,,,,,1,,
Queen Charlotte,Series,2023-23,,8.0,,,,,3,,
Secret Invasion,Series,2023-23,,8.0,,,,,1,,
The Fall O The House Of Usher,Series,2023-23,,9.0,,,,,5,,
The Railway Men,Series,2023-23,,10.0,,,,,,,
Who is Erin Carter,Series,2023-23,,8.0,,,,,2,2.0,
A Good Girl's Guide To Murder,Series,2024-,,8.0,,,,,,,
Black Doves,Series,2024-,1.0,7.0,,,,,,,
Call me Bae,Series,2024-,,8.0,,,,,,,
Cassandra,Series,2024-,1.0,8.0,,,,,,,
CROSS,Series,2024-,1.0,9.0,,,,,,,
Dead Boy Detectives,Series,2024-,,9.0,,,,,,,
Fool Me Once,Series,2024-,,10.0,,,,,0,5.0,0.0
High Potential,Series,2024-,0.6,6.0,,1.0,4.0,,0,1.0,0.0
Man on the Inside,Series,2024-,1.0,9.0,,1.0,3.0,,0,0.0,0.0
Maxton Hall,Series,2024-,,7.0,,,,,5,1.0,4.0
Nobody Wants This,Series,2024-,,8.0,,,,,,,
Parasyte,Series,2024-,,7.0,,,,,,,
The Decameron,Series,2024-,,7.0,,,,,3,5.0,2.0
The Trust,Series,2024-,,9.0,,,,,0,0.0,0.0
Three Body Problem,Series,2024-,,10.0,,,,,0,3.0,5.0
Agatha All Along,Series,2024-23,,,,,,,,,
Baby Reindeer,Series,2024-24,,8.0,,,,,0,0.0,0.0
Bodkin,Series,2024-24,,8.0,,,,,0,0.0,0.0
Dark Matter,Series,2024-24,,10.0,,,,,2,2.0,1.0
Eric,Series,2024-24,,7.0,,,,,0,0.0,0.0
Heeramandi,Series,2024-24,,9.0,,,,,3,1.0,1.0
Knuckles,Series,2024-24,,9.0,,,,,0,0.0,0.0
My Lady Jane,Series,2024-24,,7.0,,,,,0,0.0,0.0
Ted,Series,2024-24,,8.0,,,,,2,5.0,1.0
Deli Boys,Series,2025-,1.0,8.0,,,,,,,
Adolescence,Series,2025-25,1.0,6.0,,,,,,,
Good American Family,Series,2025-25,1.0,7.0,,0.0,0.0,1.0,1,3.0,1.0
Obliterated,Series,2023-23,1.0,7.0,,3.0,3.0,4.0,5,5.0,5.0
Gossip Girls,Series,2007-2012,3.7,6.0,,3.0,3.0,2.0,2,2.0,1.0
We Were Liars,Series,2025-,1.0,8.0,,4.0,4.0,2.0,2,2.0,1.0
Wayne,Series,2019-19,1.0,7.0,,2.0,2.0,4.0,1,3.0,1.0
Dark,Series,2017-2020,,6.0,,2.0,1.0,4.0,5,2.0,5.0
Dept Q,Series,2025-,1.0,7.0,,,,,,,
